food,id,review,rating
가오리콩나물찜,shiloh,오늘 손님 술안주로 대접했는데 덕분에 많은 분들이 좋아하셨어요 감사합니다 ,5
가오리콩나물찜,여군,아~ 오늘 점심을 너무 맛있게 먹었어요~ 신랑도 맛있다고~ ^^ ,5
가오리콩나물찜,수진 김,참 쉽고 맛내기 쉽내요^^ 잘먹었습니다~ ,5
가자미구이,엉오기♬,너무맛있게 잘해먹었어요~~ 애들이 너무좋아하네요 급하게먹느라 사진을깜빡했네요 감사합니다~^^ ,5
가자미구이,꼬작꼬작,소스가 맛있어서 완전 취향저격! 같은 소스로 다른 튀김요리에 활용해도 좋을 거 같아요! ,5
가자미구이,리링롱,너무 맛있네요~ 가자미 구워서 드레싱 뿌려 먹으니 딱 원하는 맛이에요!!! 감사합니다 ,5
가자미구이,blesseunice,쉽고 맛있었어요~~전분 묻혀 구우니 겉은 바삭바삭한데 간장양념에 묻으니 쫀득쫀득하기도 하고ㅎㅎ식감이 좋았어요~! ,5
가자미구이,김하나,가자미만 먹어도 맛있네요. 소스는 여건이 안되신다면 안만드셔도 괜찮을 것 같아요. ,5
가자미구이,미니유노,양념을 안끓이고 부우니 민물생선맛이나면서 아무도안먹기에 양념더해서 조리니 맛있게먹네요 요리는 응용하기나름인가봐요 ,5
가자미구이,썬써니v,우와~ 말이 필요없네요 매번 가자미는 그냥구웠는데 이 레시피 완전 짱이에요ㅎㅎ 임산부라 맛술안넣었는데도 소스맛있었어요 ,5
가자미구이,.안녕,요리 초보인데 점심때 가자미구이 잘 해서 막었습니다~ 소스 너무 맛있어요~감사해요~ ,5
가자미구이,체스넛,감자 전분 덕분인지 껍질이 엄청 쫀득 바삭하게 맛있었어요! 간장소스장은 숟가락으로 마지막에 끼얹으면서 먹었구요ㅋㅋ 간장 소스가 새콤해서 비릿한 생선맛도 잡아주고 진짜 다음에도 또 해먹을 맛이네요 ㅋㅋㅋ ,5
가자미구이,행복한삼부자,바로 먹을게 아니라 소스는 따로 담아놨어요~ 소스는 한번 끓여서 졸였구 레몬도 잘라서 넣어줬어요. 가자미가 작이서 저는 토막내서 모양은 좀 그래요~ ,5
가자미구이,린다k120,소스 정말 맛있어요 신랑이 자기 취향이라고 좋아해요 가자미를 그럴듯하게 요리해서 먹으니 좋네요 좋은 레시피 감사합니다~ ,5
가자미구이,Kim Phillips,저는 매운걸 잞못 먹어서 청양고추 를 사뇽하지 않고 타이칠리를 좀 섞고 발사믹 식초랑 레몬즙을 사용했는데도 넘 맛있었어요. 좋은 리서피...감사합니다!  ,5
가자미구이,아들투맘♥,요리 잘 못하는 주부에여 ㅎㅎ 고추빼고 만들었어요~그래도 맛나네요~~ 아들이 맛있다고 엄지척 해주네요~~~ ,5
가자미구이,곽유,전분이 없어서 밀가루로 대신햇는데 진심 맛잇어요!!!!소스 대박이고요!! 다이어트하고잇는데 부담도 안되서 좋아용~~~ 무슨 겉에는 치킨껍질멋는것처럼 바삭바삭해용♥ ,5
가자미구이,감사로사는인생,막내가 생선을 별로 좋아하지 않는데 전분의 겉바싹속촉촉과 드레싱에 항복을 했어요 ㅎㅎ ,5
가자미구이,까꿍,가자미 요리는 집에서 처음 해 봤는데 실패없이 맛있게 잘 해 먹었어요~ 저는 양념장에 양파도 다져 넣어 요리했습니다. 레시피 감사합니다 ^^ ,5
가자미구이,솔기맘,완전 강추 레시피였어요. 생선은 잘 안먹는 입짧은 딸도 맛있다하네요. 밖에서 먹는 음식같았어요. 감사합니다^^ ,5
가자미구이,yseojin,예쁘게 굽지는 못했지만 마지막 잔열에 소스부어 졸였더니 교촌치킨맛이..!! 생선싫어하는 신랑이 교촌허니콤보같다고 맛있게 먹었어요ㅋㅋ ,5
가자미구이,해바라기 조아,"가족들모두 간장소스가 정말 맛있대요~ 감자전분이 없어서 부침가루로 했지만, 소스가 맛나서 맛있는 저녁시간이였답니다~ 레시피 감사합니다^^ ",5
가자미구이,별과나,싹싹 긁어 먹는 중입니다 맛있게 잘 먹었습니다 아~ 잘했다고 ㅎㅎ 감사해요 ,5
가자미구이,솔림,겉은 바삭하고 속은 촉촉하고 새콤달콤함과 청량고추의 톡 쏘는 맛이 조화로운 양념에 맛있게 먹었어요.~~ 신랑은 술을 부르는 맛이래요.ㅋㅋ ,5
가자미구이,서의정,평소 가자미로 구이만 했는데 이 소스을 곁들어서 먹으니까 한정식 요리처럼 고급지고 너무 맛있네요 감사합니다 소스짱이예요 ,5
가자미구이,sujin3590,완전 맛있어요~ 소스도 굿이예요 한번씩 해주면 신랑이 너무 좋아해요^^ ,5
가자미구이,alines1225,간장드레싱 않뿌려도 맛있었네요 ~ 두가지로? 구워먹을거랍이다..감사! ,5
가자미구이,쭈니욱이맘~,저도 양념장에 졸여서 냈더니 더 맛있는듯 했어요~ 레시피 감사합니다~ ,5
가자미구이,긍정적인 맨,저도 막판에 양념 졸여서 했는데 정말 맛있게 먹었어요!! 감사합니다  ,5
가자미구이,동태연,오늘 저녁에 남편하고 잘 먹었습니다. 레시피는 감사합니다~ ♡♡♡ ,5
가자미구이,김성민임임,잘먹었어요 입맛이 도는게 일식 스끼다시로 나가도 괜찮을거같아요 ,5
가자미구이,windmaster,소스 맛있어요 고추들은 없어서 빼고 했는데 애들도 잘 먹네요 ,5
가자미구이,-이수정,맛있게 구워서 요리했어요 저는 파채를 올려 양념을 뿌렸네요 ,5
가자미구이,찌니짐니,아이가 무척 맛있다네요. 일식집에서 나오는 생선조림같아요 ,5
가자미구이,natalia12,진짜 맛있네요.여러 생선구이에 활용할수있는 소스에요^^ ,5
가자미구이,-쑤러블,맛있게 잘 먹었어요. 간장소스가 상큼상큼 맛있어요^^ ,5
가자미구이,랄라랄라냠,가자미조림 잘 했어요!!! 맛있었습니다 감사합니다 ㅋ ,5
